algorithm,parallel_mode,parameter1,parameter2,threads,latency_us,recall@10
==> data/flat_omp.csv <==
flat,omp,-,-,1,11703534,0.99995
flat,omp,-,-,2,6090692,0.99995
flat,omp,-,-,4,3409970,0.99995
flat,omp,-,-,8,3027913,0.99995
flat,omp,-,-,16,3962374,0.99995

==> data/flat_pthread.csv <==
flat,pthread,-,-,1,15648020,0.99995
flat,pthread,-,-,2,8057208,0.99995
flat,pthread,-,-,4,4599653,0.99995
flat,pthread,-,-,8,5858659,0.99995
flat,pthread,-,-,16,6797089,0.99995

==> data/pq_omp.csv <==
pq,omp,8,1000,1,4834922,0.993851
pq,omp,8,1000,2,3672077,0.993851
pq,omp,8,1000,4,3204999,0.993851
pq,omp,8,1000,8,5090868,0.993851
pq,omp,8,1000,16,7296729,0.993851
pq,omp,8,2000,1,6533503,0.9984
pq,omp,8,2000,2,5638498,0.9984
pq,omp,8,2000,4,5034468,0.9984
pq,omp,8,2000,8,7806860,0.9984
pq,omp,8,2000,16,11597505,0.9984
pq,omp,8,5000,1,11820788,0.99985
pq,omp,8,5000,2,11054012,0.99985
pq,omp,8,5000,4,10758959,0.99985
pq,omp,8,5000,8,17910433,0.99985
pq,omp,8,5000,16,24840026,0.99985
pq,omp,16,1000,1,7767183,0.99995
pq,omp,16,1000,2,5188661,0.99995
pq,omp,16,1000,4,4418188,0.99995
pq,omp,16,1000,8,8025696,0.99995
pq,omp,16,1000,16,9297954,0.99995
pq,omp,16,2000,1,9382422,0.99995
pq,omp,16,2000,2,8967790,0.99995
pq,omp,16,2000,4,7296920,0.99995
pq,omp,16,2000,8,11812344,0.99995
pq,omp,16,2000,16,14434621,0.99995
pq,omp,16,5000,1,14404577,0.99995
pq,omp,16,5000,2,12197305,0.99995
pq,omp,16,5000,4,13062614,0.99995
pq,omp,16,5000,8,21135479,0.99995
pq,omp,16,5000,16,25016795,0.99995

==> data/pq_pthread.csv <==
pq,pthread,8,1000,1,5248617,0.994501
pq,pthread,8,1000,2,3802327,0.994501
pq,pthread,8,1000,4,3782273,0.994501
pq,pthread,8,1000,8,5552304,0.994501
pq,pthread,8,1000,16,9839591,0.994501
pq,pthread,8,2000,1,7174244,0.99885
pq,pthread,8,2000,2,5873016,0.99885
pq,pthread,8,2000,4,5965803,0.99885
pq,pthread,8,2000,8,8841375,0.99885
pq,pthread,8,2000,16,12945545,0.99885
pq,pthread,8,5000,1,11886684,0.99985
pq,pthread,8,5000,2,10636881,0.99985
pq,pthread,8,5000,4,11796590,0.99985
pq,pthread,8,5000,8,17061826,0.99985
pq,pthread,8,5000,16,26653044,0.99985
pq,pthread,16,1000,1,8316538,0.99985
pq,pthread,16,1000,2,5859452,0.99985
pq,pthread,16,1000,4,4679010,0.99985
pq,pthread,16,1000,8,6985409,0.99985
pq,pthread,16,1000,16,11389211,0.99985
pq,pthread,16,2000,1,10977790,0.99995
pq,pthread,16,2000,2,7313740,0.99995
pq,pthread,16,2000,4,7215010,0.99995
pq,pthread,16,2000,8,8439213,0.99995
pq,pthread,16,2000,16,14156172,0.99995
pq,pthread,16,5000,1,14642623,0.99995
pq,pthread,16,5000,2,11897493,0.99995
pq,pthread,16,5000,4,13138481,0.99995
pq,pthread,16,5000,8,17844664,0.99995
pq,pthread,16,5000,16,27888038,0.99995

==> data/ivf_omp.csv <==
ivf,omp,100,10,1,6475505,0.973052
ivf,omp,100,10,2,3181642,0.973052
ivf,omp,100,10,4,2029003,0.973052
ivf,omp,100,10,8,3751435,0.973052
ivf,omp,100,10,16,2487934,0.973052
ivf,omp,100,20,1,11871645,0.992201
ivf,omp,100,20,2,6142169,0.992201
ivf,omp,100,20,4,3589165,0.992201
ivf,omp,100,20,8,3631588,0.992201
ivf,omp,100,20,16,3241551,0.992201
ivf,omp,100,50,1,27038391,0.9996
ivf,omp,100,50,2,13963301,0.9996
ivf,omp,100,50,4,7671441,0.9996
ivf,omp,100,50,8,6242895,0.9996
ivf,omp,100,50,16,6397681,0.9996
ivf,omp,500,10,1,1925617,0.918652
ivf,omp,500,10,2,1232548,0.918652
ivf,omp,500,10,4,869533,0.918652
