algorithm,parallel_mode,parameter1,parameter2,threads,latency_us,recall@10
hnsw,omp,16,50,1,611942,0.970603
hnsw,omp,16,50,2,327174,0.970603
hnsw,omp,16,50,4,215467,0.970603
hnsw,omp,16,50,8,152657,0.970603
hnsw,omp,16,50,16,231295,0.970603
hnsw,omp,16,100,1,1185232,0.991351
hnsw,omp,16,100,2,682290,0.991351
hnsw,omp,16,100,4,342446,0.991351
hnsw,omp,16,100,8,267334,0.991351
hnsw,omp,16,100,16,240225,0.991351
hnsw,omp,16,200,1,1732595,0.9978
hnsw,omp,16,200,2,1185601,0.9978
hnsw,omp,16,200,4,623245,0.9978
hnsw,omp,16,200,8,467523,0.9978
hnsw,omp,16,200,16,424318,0.9978
hnsw,omp,32,50,1,845055,0.983102
hnsw,omp,32,50,2,541220,0.983102
hnsw,omp,32,50,4,297991,0.983102
hnsw,omp,32,50,8,196763,0.983102
hnsw,omp,32,50,16,171205,0.983102
hnsw,omp,32,100,1,1494067,0.995601
hnsw,omp,32,100,2,730932,0.995601
hnsw,omp,32,100,4,476808,0.995601
hnsw,omp,32,100,8,330931,0.995601
hnsw,omp,32,100,16,299377,0.995601
hnsw,omp,32,200,1,2785426,0.9988
hnsw,omp,32,200,2,1343935,0.9988
hnsw,omp,32,200,4,742309,0.9988
hnsw,omp,32,200,8,566433,0.9988
hnsw,omp,32,200,16,486601,0.9988
