algorithm,parallel_mode,parameter1,parameter2,threads,latency_us,recall@10
hnsw,pthread,16,50,1,852759,0.970603
hnsw,pthread,16,50,2,342122,0.970603
hnsw,pthread,16,50,4,235112,0.970603
hnsw,pthread,16,50,8,168704,0.970603
hnsw,pthread,16,50,16,132734,0.970603
hnsw,pthread,16,100,1,1113078,0.991351
hnsw,pthread,16,100,2,729993,0.991351
hnsw,pthread,16,100,4,401608,0.991351
hnsw,pthread,16,100,8,317021,0.991351
hnsw,pthread,16,100,16,324273,0.991351
hnsw,pthread,16,200,1,2696728,0.9978
hnsw,pthread,16,200,2,1130422,0.9978
hnsw,pthread,16,200,4,643013,0.9978
hnsw,pthread,16,200,8,557421,0.9978
hnsw,pthread,16,200,16,421143,0.9978
hnsw,pthread,32,50,1,1008700,0.983102
hnsw,pthread,32,50,2,592400,0.983102
hnsw,pthread,32,50,4,303196,0.983102
hnsw,pthread,32,50,8,232491,0.983102
hnsw,pthread,32,50,16,176164,0.983102
hnsw,pthread,32,100,1,1566258,0.995601
hnsw,pthread,32,100,2,1033849,0.995601
hnsw,pthread,32,100,4,522950,0.995601
hnsw,pthread,32,100,8,361632,0.995601
hnsw,pthread,32,100,16,340529,0.995601
hnsw,pthread,32,200,1,3001778,0.9988
hnsw,pthread,32,200,2,1616547,0.9988
hnsw,pthread,32,200,4,895447,0.9988
hnsw,pthread,32,200,8,656123,0.9988
hnsw,pthread,32,200,16,525454,0.9988
