algorithm,parallel_mode,parameter1,parameter2,threads,latency_us,recall@10
ivf,omp,100,10,1,6475505,0.973052
ivf,omp,100,10,2,3181642,0.973052
ivf,omp,100,10,4,2029003,0.973052
ivf,omp,100,10,8,3751435,0.973052
ivf,omp,100,10,16,2487934,0.973052
ivf,omp,100,20,1,11871645,0.992201
ivf,omp,100,20,2,6142169,0.992201
ivf,omp,100,20,4,3589165,0.992201
ivf,omp,100,20,8,3631588,0.992201
ivf,omp,100,20,16,3241551,0.992201
ivf,omp,100,50,1,27038391,0.9996
ivf,omp,100,50,2,13963301,0.9996
ivf,omp,100,50,4,7671441,0.9996
ivf,omp,100,50,8,6242895,0.9996
ivf,omp,100,50,16,6397681,0.9996
ivf,omp,500,10,1,1925617,0.918652
ivf,omp,500,10,2,1232548,0.918652
ivf,omp,500,10,4,869533,0.918652
ivf,omp,500,10,8,3408313,0.918652
ivf,omp,500,10,16,1795643,0.918652
ivf,omp,500,20,1,2912152,0.962452
ivf,omp,500,20,2,1983517,0.962452
ivf,omp,500,20,4,1146142,0.962452
ivf,omp,500,20,8,2642096,0.962452
ivf,omp,500,20,16,1637837,0.962452
ivf,omp,500,50,1,7771021,0.991401
ivf,omp,500,50,2,4062461,0.991401
ivf,omp,500,50,4,2110810,0.991401
ivf,omp,500,50,8,3977539,0.991401
ivf,omp,500,50,16,2802030,0.991401
