algorithm,parallel_mode,parameter1,parameter2,threads,latency_us,recall@10
ivf,pthread,100,10,1,7195335,0.973052
ivf,pthread,100,10,2,4349391,0.973052
ivf,pthread,100,10,4,2669345,0.973052
ivf,pthread,100,10,8,2792581,0.973052
ivf,pthread,100,10,16,3540988,0.973052
ivf,pthread,100,20,1,13351313,0.992201
ivf,pthread,100,20,2,8001814,0.992201
ivf,pthread,100,20,4,4649944,0.992201
ivf,pthread,100,20,8,4037058,0.992201
ivf,pthread,100,20,16,4620299,0.992201
ivf,pthread,100,50,1,29191051,0.9996
ivf,pthread,100,50,2,18338314,0.9996
ivf,pthread,100,50,4,10217529,0.9996
ivf,pthread,100,50,8,9034562,0.9996
ivf,pthread,100,50,16,9989194,0.9996
ivf,pthread,500,10,1,2699259,0.918652
ivf,pthread,500,10,2,1873497,0.918652
ivf,pthread,500,10,4,1277883,0.918652
ivf,pthread,500,10,8,2375115,0.918652
ivf,pthread,500,10,16,2464666,0.918602
ivf,pthread,500,20,1,4351394,0.962452
ivf,pthread,500,20,2,2742728,0.962452
ivf,pthread,500,20,4,1778486,0.962452
ivf,pthread,500,20,8,2313137,0.962452
ivf,pthread,500,20,16,3056210,0.962402
ivf,pthread,500,50,1,7841962,0.991401
ivf,pthread,500,50,2,4701331,0.991401
ivf,pthread,500,50,4,2896899,0.991401
ivf,pthread,500,50,8,3599330,0.991401
ivf,pthread,500,50,16,3850624,0.991351
