algorithm,parallel_mode,parameter1,parameter2,threads,latency_us,recall@10
ivfpq,omp,100-8,10,1,1826613,0.956853
ivfpq,omp,100-8,10,2,1386577,0.927204
ivfpq,omp,100-8,10,4,1108975,0.890105
ivfpq,omp,100-8,10,8,2822472,0.863304
ivfpq,omp,100-8,10,16,1872007,0.836154
ivfpq,omp,100-8,20,1,2659388,0.972203
ivfpq,omp,100-8,20,2,1704215,0.935554
ivfpq,omp,100-8,20,4,1557703,0.877256
ivfpq,omp,100-8,20,8,4640730,0.815404
ivfpq,omp,100-8,20,16,2096390,0.779002
ivfpq,omp,100-8,50,1,4702321,0.976803
ivfpq,omp,100-8,50,2,2850676,0.933904
ivfpq,omp,100-8,50,4,1979567,0.858405
ivfpq,omp,100-8,50,8,3722350,0.754702
ivfpq,omp,100-8,50,16,3150307,0.669201
ivfpq,omp,100-16,10,1,2420000,0.973052
ivfpq,omp,100-16,10,2,1776973,0.971902
ivfpq,omp,100-16,10,4,1431277,0.967753
ivfpq,omp,100-16,10,8,2919411,0.961753
ivfpq,omp,100-16,10,16,1943790,0.955554
ivfpq,omp,100-16,20,1,3955549,0.992201
ivfpq,omp,100-16,20,2,2404709,0.990601
ivfpq,omp,100-16,20,4,1828310,0.983052
ivfpq,omp,100-16,20,8,2760101,0.964854
ivfpq,omp,100-16,20,16,2329653,0.947655
ivfpq,omp,100-16,50,1,7277581,0.9989
ivfpq,omp,100-16,50,2,4349607,0.996951
ivfpq,omp,100-16,50,4,2740675,0.985502
ivfpq,omp,100-16,50,8,3820686,0.953205
ivfpq,omp,100-16,50,16,3334702,0.904706
ivfpq,omp,500-8,10,1,1210166,0.913203
ivfpq,omp,500-8,10,2,1020966,0.899155
ivfpq,omp,500-8,10,4,1186093,0.883505
ivfpq,omp,500-8,10,8,5589600,0.852905
ivfpq,omp,500-8,10,16,2647062,0.761253
ivfpq,omp,500-8,20,1,1369712,0.953203
ivfpq,omp,500-8,20,2,1240637,0.929105
ivfpq,omp,500-8,20,4,1159560,0.898606
ivfpq,omp,500-8,20,8,2718075,0.863906
ivfpq,omp,500-8,20,16,1781934,0.817304
ivfpq,omp,500-8,50,1,2033965,0.973802
ivfpq,omp,500-8,50,2,1494590,0.939055
ivfpq,omp,500-8,50,4,1207032,0.879106
ivfpq,omp,500-8,50,8,3191434,0.811603
ivfpq,omp,500-8,50,16,2154688,0.752252
ivfpq,omp,500-16,10,1,1520642,0.919502
ivfpq,omp,500-16,10,2,1078239,0.919152
ivfpq,omp,500-16,10,4,884111,0.918052
ivfpq,omp,500-16,10,8,2538987,0.916003
ivfpq,omp,500-16,10,16,2023816,0.905203
ivfpq,omp,500-16,20,1,1884592,0.964702
ivfpq,omp,500-16,20,2,1308985,0.963952
ivfpq,omp,500-16,20,4,1236499,0.961453
ivfpq,omp,500-16,20,8,4454355,0.953853
ivfpq,omp,500-16,20,16,2023184,0.945804
ivfpq,omp,500-16,50,1,2640257,0.991151
ivfpq,omp,500-16,50,2,1897791,0.989852
ivfpq,omp,500-16,50,4,1687633,0.982403
ivfpq,omp,500-16,50,8,4840529,0.965305
ivfpq,omp,500-16,50,16,2517657,0.941206
