algorithm,parallel_mode,parameter1,parameter2,threads,latency_us,recall@10
ivfpq,pthread,100-8,10,1,2204919,0.957353
ivfpq,pthread,100-8,10,2,2027915,0.957353
ivfpq,pthread,100-8,10,4,1987339,0.957353
ivfpq,pthread,100-8,10,8,2682311,0.957353
ivfpq,pthread,100-8,10,16,4077609,0.957353
ivfpq,pthread,100-8,20,1,3200811,0.972953
ivfpq,pthread,100-8,20,2,2578741,0.972953
ivfpq,pthread,100-8,20,4,2448851,0.972953
ivfpq,pthread,100-8,20,8,3602409,0.972953
ivfpq,pthread,100-8,20,16,4497303,0.972953
ivfpq,pthread,100-8,50,1,5774101,0.978002
ivfpq,pthread,100-8,50,2,4215539,0.978002
ivfpq,pthread,100-8,50,4,3318320,0.978002
ivfpq,pthread,100-8,50,8,4136541,0.978002
ivfpq,pthread,100-8,50,16,5363260,0.978002
ivfpq,pthread,100-16,10,1,3300195,0.973252
ivfpq,pthread,100-16,10,2,2524546,0.973252
ivfpq,pthread,100-16,10,4,2497705,0.973252
ivfpq,pthread,100-16,10,8,3746297,0.973252
ivfpq,pthread,100-16,10,16,5245370,0.973252
ivfpq,pthread,100-16,20,1,4653554,0.992451
ivfpq,pthread,100-16,20,2,3586839,0.992451
ivfpq,pthread,100-16,20,4,3022016,0.992451
ivfpq,pthread,100-16,20,8,3755394,0.992451
ivfpq,pthread,100-16,20,16,6084353,0.992451
ivfpq,pthread,100-16,50,1,8734173,0.9993
ivfpq,pthread,100-16,50,2,6147293,0.9993
ivfpq,pthread,100-16,50,4,4936890,0.9993
ivfpq,pthread,100-16,50,8,5857435,0.9993
ivfpq,pthread,100-16,50,16,6171650,0.9993
ivfpq,pthread,500-8,10,1,1501990,0.913953
ivfpq,pthread,500-8,10,2,1494127,0.913953
ivfpq,pthread,500-8,10,4,1797305,0.913953
ivfpq,pthread,500-8,10,8,2472872,0.913953
ivfpq,pthread,500-8,10,16,3387338,0.913953
ivfpq,pthread,500-8,20,1,1878567,0.953103
ivfpq,pthread,500-8,20,2,2227684,0.953103
ivfpq,pthread,500-8,20,4,1994160,0.953103
ivfpq,pthread,500-8,20,8,3292708,0.953103
ivfpq,pthread,500-8,20,16,4528197,0.953103
ivfpq,pthread,500-8,50,1,2388513,0.973003
ivfpq,pthread,500-8,50,2,2037700,0.973003
ivfpq,pthread,500-8,50,4,2422614,0.973003
ivfpq,pthread,500-8,50,8,2973101,0.973003
ivfpq,pthread,500-8,50,16,4352883,0.973003
ivfpq,pthread,500-16,10,1,1988235,0.919702
ivfpq,pthread,500-16,10,2,2057680,0.919702
ivfpq,pthread,500-16,10,4,2242119,0.919702
ivfpq,pthread,500-16,10,8,2554537,0.919702
ivfpq,pthread,500-16,10,16,3552188,0.919702
ivfpq,pthread,500-16,20,1,2254591,0.965002
ivfpq,pthread,500-16,20,2,2071828,0.965002
ivfpq,pthread,500-16,20,4,2261405,0.965002
ivfpq,pthread,500-16,20,8,3224118,0.965002
ivfpq,pthread,500-16,20,16,4343152,0.965002
ivfpq,pthread,500-16,50,1,3524967,0.991351
ivfpq,pthread,500-16,50,2,2790795,0.991351
ivfpq,pthread,500-16,50,4,2603086,0.991351
ivfpq,pthread,500-16,50,8,3373483,0.991351
ivfpq,pthread,500-16,50,16,4890768,0.991351
