algorithm,parallel_mode,parameter1,parameter2,threads,latency_us,recall@10
pq,omp,8,1000,1,4834922,0.993851
pq,omp,8,1000,2,3672077,0.993851
pq,omp,8,1000,4,3204999,0.993851
pq,omp,8,1000,8,5090868,0.993851
pq,omp,8,1000,16,7296729,0.993851
pq,omp,8,2000,1,6533503,0.9984
pq,omp,8,2000,2,5638498,0.9984
pq,omp,8,2000,4,5034468,0.9984
pq,omp,8,2000,8,7806860,0.9984
pq,omp,8,2000,16,11597505,0.9984
pq,omp,8,5000,1,11820788,0.99985
pq,omp,8,5000,2,11054012,0.99985
pq,omp,8,5000,4,10758959,0.99985
pq,omp,8,5000,8,17910433,0.99985
pq,omp,8,5000,16,24840026,0.99985
pq,omp,16,1000,1,7767183,0.99995
pq,omp,16,1000,2,5188661,0.99995
pq,omp,16,1000,4,4418188,0.99995
pq,omp,16,1000,8,8025696,0.99995
pq,omp,16,1000,16,9297954,0.99995
pq,omp,16,2000,1,9382422,0.99995
pq,omp,16,2000,2,8967790,0.99995
pq,omp,16,2000,4,7296920,0.99995
pq,omp,16,2000,8,11812344,0.99995
pq,omp,16,2000,16,14434621,0.99995
pq,omp,16,5000,1,14404577,0.99995
pq,omp,16,5000,2,12197305,0.99995
pq,omp,16,5000,4,13062614,0.99995
pq,omp,16,5000,8,21135479,0.99995
pq,omp,16,5000,16,25016795,0.99995
