algorithm,parallel_mode,parameter1,parameter2,threads,latency_us,recall@10
pq,pthread,8,1000,1,5248617,0.994501
pq,pthread,8,1000,2,3802327,0.994501
pq,pthread,8,1000,4,3782273,0.994501
pq,pthread,8,1000,8,5552304,0.994501
pq,pthread,8,1000,16,9839591,0.994501
pq,pthread,8,2000,1,7174244,0.99885
pq,pthread,8,2000,2,5873016,0.99885
pq,pthread,8,2000,4,5965803,0.99885
pq,pthread,8,2000,8,8841375,0.99885
pq,pthread,8,2000,16,12945545,0.99885
pq,pthread,8,5000,1,11886684,0.99985
pq,pthread,8,5000,2,10636881,0.99985
pq,pthread,8,5000,4,11796590,0.99985
pq,pthread,8,5000,8,17061826,0.99985
pq,pthread,8,5000,16,26653044,0.99985
pq,pthread,16,1000,1,8316538,0.99985
pq,pthread,16,1000,2,5859452,0.99985
pq,pthread,16,1000,4,4679010,0.99985
pq,pthread,16,1000,8,6985409,0.99985
pq,pthread,16,1000,16,11389211,0.99985
pq,pthread,16,2000,1,10977790,0.99995
pq,pthread,16,2000,2,7313740,0.99995
pq,pthread,16,2000,4,7215010,0.99995
pq,pthread,16,2000,8,8439213,0.99995
pq,pthread,16,2000,16,14156172,0.99995
pq,pthread,16,5000,1,14642623,0.99995
pq,pthread,16,5000,2,11897493,0.99995
pq,pthread,16,5000,4,13138481,0.99995
pq,pthread,16,5000,8,17844664,0.99995
pq,pthread,16,5000,16,27888038,0.99995
