algorithm,world_size,comm_mode,thread_mode,threads,nlist,nprobe,hnsw_m,hnsw_efc,hnsw_ef,queries,avg_recall,avg_latency_us,max_latency_us
graph,2,blocking,openmp,2,32,4,16,40,16,10,0.9,1647982,2749339
graph,2,blocking,openmp,4,32,4,16,40,16,10,0.9,1760231,2916083
graph,2,blocking,pthread,2,32,4,16,40,16,10,0.87,1874207,3383327
graph,2,blocking,pthread,4,32,4,16,40,16,10,0.87,1891079,3398011
graph,2,blocking,openmp,2,32,4,16,40,32,10,0.93,1881344,3453632
graph,2,blocking,openmp,4,32,4,16,40,32,10,0.91,1868154,2974459
graph,2,blocking,pthread,2,32,4,16,40,32,10,0.92,1917868,3562137
graph,2,blocking,pthread,4,32,4,16,40,32,10,0.92,1946570,3169596
graph,2,blocking,openmp,2,32,4,8,40,16,10,0.89,1518813,2574944
graph,2,blocking,openmp,4,32,4,8,40,16,10,0.86,1718400,3279546
graph,2,blocking,pthread,2,32,4,8,40,16,10,0.88,1655052,3004168
graph,2,blocking,pthread,4,32,4,8,40,16,10,0.88,1757482,3229509
graph,2,blocking,openmp,2,32,4,8,40,32,10,0.91,1613795,2715131
graph,2,blocking,openmp,4,32,4,8,40,32,10,0.91,1578879,3065881
graph,2,blocking,pthread,2,32,4,8,40,32,10,0.91,1637862,3389390
graph,2,blocking,pthread,4,32,4,8,40,32,10,0.91,1740423,3233907
graph,2,blocking,openmp,2,32,8,16,40,16,10,0.94,3367040,4786036
graph,2,blocking,openmp,4,32,8,16,40,16,10,0.91,2196240,3723298
graph,2,blocking,pthread,2,32,8,16,40,16,10,0.92,2525788,3984174
graph,2,blocking,pthread,4,32,8,16,40,16,10,0.92,2067267,3168735
graph,2,blocking,openmp,2,32,8,16,40,32,10,0.96,2488400,4293621
graph,2,blocking,openmp,4,32,8,16,40,32,10,0.98,2741581,4660249
graph,2,blocking,pthread,2,32,8,16,40,32,10,0.96,2622204,4695399
graph,2,blocking,pthread,4,32,8,16,40,32,10,0.96,2772998,4914617
graph,2,blocking,openmp,2,32,8,8,40,16,10,0.82,3507742,4711135
graph,2,blocking,openmp,4,32,8,8,40,16,10,0.89,3381321,5348370
graph,2,blocking,pthread,2,32,8,8,40,16,10,0.89,3655722,5265523
graph,2,blocking,pthread,4,32,8,8,40,16,10,0.89,3372427,4402563
graph,2,blocking,openmp,2,32,8,8,40,32,10,0.95,3007951,4207209
graph,2,blocking,openmp,4,32,8,8,40,32,10,0.94,3286303,4880078
graph,2,blocking,pthread,2,32,8,8,40,32,10,0.95,2465146,4395476
graph,2,blocking,pthread,4,32,8,8,40,32,10,0.95,3216653,4732276
graph,2,blocking,openmp,2,64,4,16,40,16,10,0.93,782367,1273427
graph,2,blocking,openmp,4,64,4,16,40,16,10,0.9,668393,1409709
graph,2,blocking,pthread,2,64,4,16,40,16,10,0.91,852172,1655662
graph,2,blocking,pthread,4,64,4,16,40,16,10,0.91,645844,1606902
graph,2,blocking,openmp,2,64,4,16,40,32,10,0.95,733761,1255590
graph,2,blocking,openmp,4,64,4,16,40,32,10,0.94,857504,1734606
graph,2,blocking,pthread,2,64,4,16,40,32,10,0.93,862906,1625595
graph,2,blocking,pthread,4,64,4,16,40,32,10,0.93,826936,1582678
graph,2,blocking,openmp,2,64,4,8,40,16,10,0.86,621947,1244113
graph,2,blocking,openmp,4,64,4,8,40,16,10,0.87,757301,1520195
graph,2,blocking,pthread,2,64,4,8,40,16,10,0.85,561071,1171095
graph,2,blocking,pthread,4,64,4,8,40,16,10,0.85,612302,1281035
graph,2,blocking,openmp,2,64,4,8,40,32,10,0.91,774187,1532757
graph,2,blocking,openmp,4,64,4,8,40,32,10,0.91,755320,1575542
graph,2,blocking,pthread,2,64,4,8,40,32,10,0.91,820260,1790023
graph,2,blocking,pthread,4,64,4,8,40,32,10,0.91,735987,1198944
graph,2,blocking,openmp,2,64,8,16,40,16,10,0.94,1505763,3324140
graph,2,blocking,openmp,4,64,8,16,40,16,10,0.9,1310361,2679754
graph,2,blocking,pthread,2,64,8,16,40,16,10,0.92,1177901,2967650
graph,2,blocking,pthread,4,64,8,16,40,16,10,0.92,1678009,3205347
graph,2,blocking,openmp,2,64,8,16,40,32,10,0.98,1684640,3296110
graph,2,blocking,openmp,4,64,8,16,40,32,10,0.97,1681970,3102572
graph,2,blocking,pthread,2,64,8,16,40,32,10,0.96,1656486,2838466
graph,2,blocking,pthread,4,64,8,16,40,32,10,0.96,1603579,3003223
graph,2,blocking,openmp,2,64,8,8,40,16,10,0.84,1435803,2779204
graph,2,blocking,openmp,4,64,8,8,40,16,10,0.85,1327317,3103988
graph,2,blocking,pthread,2,64,8,8,40,16,10,0.84,1416296,2644214
graph,2,blocking,pthread,4,64,8,8,40,16,10,0.84,1423412,2748832
graph,2,blocking,openmp,2,64,8,8,40,32,10,0.95,1234146,2818650
graph,2,blocking,openmp,4,64,8,8,40,32,10,0.92,1421141,2945216
graph,2,blocking,pthread,2,64,8,8,40,32,10,0.94,1288264,2992120
graph,2,blocking,pthread,4,64,8,8,40,32,10,0.94,1348782,2654573
mpi_ivf,2,blocking,none,1,128,16,16,100,32,10,0.99,6817525,8086539
mpi_ivf,2,blocking,openmp,2,128,16,16,100,32,10,0.99,5399124,5676318
mpi_ivf,2,blocking,openmp,4,128,16,16,100,32,10,0.99,3685551,3892124
mpi_ivf,2,blocking,pthread,2,128,16,16,100,32,10,0.99,7276921,9230429
mpi_ivf,2,blocking,pthread,4,128,16,16,100,32,10,0.99,7943832,9411306
mpi_ivf,2,blocking,none,1,128,4,16,100,32,10,0.91,6965941,8699719
mpi_ivf,2,blocking,openmp,2,128,4,16,100,32,10,0.91,4107439,4535560
mpi_ivf,2,blocking,openmp,4,128,4,16,100,32,10,0.91,3048411,3255993
mpi_ivf,2,blocking,pthread,2,128,4,16,100,32,10,0.91,6105227,7000178
mpi_ivf,2,blocking,pthread,4,128,4,16,100,32,10,0.91,6705667,8015343
