method,route_us,lut_us,pq_scan_or_fused_topr_us,unfused_topr_us,exact_rerank_topk_us
A-Residual-IVF-PQ-Rerank-np8-R200,5.907300,21.373600,151.635200,61.410200,29.294300
A-Residual-IVF-PQ-Rerank-np16-R500,6.967900,45.524400,456.878300,118.889100,77.161000
A-Residual-IVF-PQ-Rerank-np24-R800,9.137000,70.177300,826.488400,171.075500,125.854800
A-Residual-IVF-PQ-Rerank-np32-R1000,17.705900,184.242800,2500.164000,381.282700,265.761600
B-OPQ-IVF-PQ-Rerank-np8-R200,12.502900,46.051400,435.527200,108.872300,56.796800
B-OPQ-IVF-PQ-Rerank-np16-R500,12.954000,89.594700,829.368800,198.300700,128.759300
B-OPQ-IVF-PQ-Rerank-np24-R800,16.554900,141.804500,1944.684700,302.503200,212.432600
B-OPQ-IVF-PQ-Rerank-np32-R1000,18.178200,199.850400,2555.757300,419.858900,262.935200
C-IVF-HNSW-OPQ-PQ-Rerank-ef16,17.167300,94.197900,847.756900,216.784900,125.543900
C-IVF-HNSW-OPQ-PQ-Rerank-ef32,21.480500,92.394700,863.947000,212.162700,126.550000
C-IVF-HNSW-OPQ-PQ-Rerank-ef48,25.307700,95.300100,848.735900,221.338500,124.923200
C-IVF-HNSW-OPQ-PQ-Rerank-ef64,33.765900,105.775700,941.803000,256.752300,128.499600
D-Reordered-IVF-HNSW-OPQ-PQ-Rerank-np8-R200,18.276700,44.397300,229.701500,110.787100,51.873500
D-Reordered-IVF-HNSW-OPQ-PQ-Rerank-np16-R500,23.599700,92.188000,487.693600,216.060900,115.053900
D-Reordered-IVF-HNSW-OPQ-PQ-Rerank-np24-R800,29.180900,143.843600,1338.983000,316.855200,188.989000
D-Fused-Reordered-IVF-HNSW-OPQ-PQ-Rerank-np8-R200,18.200400,43.428500,266.975900,0.000000,48.883700
D-Fused-Reordered-IVF-HNSW-OPQ-PQ-Rerank-np16-R500,26.298700,104.966400,617.947600,0.000000,117.466800
D-Fused-Reordered-IVF-HNSW-OPQ-PQ-Rerank-np24-R1000,28.641000,153.584900,922.535600,0.000000,220.746300
E-Pipeline-OMP-SIMD-Fused-Reordered-np8-R200,66.254900,130.922900,804.233500,0.000000,114.579700
E-Pipeline-OMP-SIMD-Fused-Reordered-np16-R500,50.234900,254.173300,1534.792400,0.000000,298.317800
E-Pipeline-OMP-SIMD-Fused-Reordered-np24-R1000,74.113600,471.054300,2359.338200,0.000000,697.806500
