method,query_count,topk,opq_lite,hnsw_route,reordered,fused,parallel_queries,nprobe,ef,rerank,recall_at_10,latency_us,qps,wall_s,avg_candidates,avg_centroids_scored
A-Residual-IVF-PQ-Rerank-np8-R200,1000,10,0,0,0,0,0,8,32,200,0.921800,269.620600,3630.003870,0.275482,12474.524000,64.000000
A-Residual-IVF-PQ-Rerank-np16-R500,1000,10,0,0,0,0,0,16,48,500,0.981200,705.420700,1334.296339,0.749459,24086.115000,64.000000
A-Residual-IVF-PQ-Rerank-np24-R800,1000,10,0,0,0,0,0,24,64,800,0.993300,1202.733000,771.088321,1.296868,35409.047000,64.000000
A-Residual-IVF-PQ-Rerank-np32-R1000,1000,10,0,0,0,0,0,32,64,1000,0.996400,3349.157000,280.768721,3.561650,46766.898000,64.000000
B-OPQ-IVF-PQ-Rerank-np8-R200,1000,10,1,0,0,0,0,8,32,200,0.922600,659.750600,1491.701070,0.670376,12573.866000,64.000000
B-OPQ-IVF-PQ-Rerank-np16-R500,1000,10,1,0,0,0,0,16,48,500,0.981500,1258.977500,777.799850,1.285678,24156.832000,64.000000
B-OPQ-IVF-PQ-Rerank-np24-R800,1000,10,1,0,0,0,0,24,64,800,0.994000,2617.979900,360.460809,2.774227,35588.855000,64.000000
B-OPQ-IVF-PQ-Rerank-np32-R1000,1000,10,1,0,0,0,0,32,64,1000,0.997000,3456.580000,272.541320,3.669168,47203.375000,64.000000
C-IVF-HNSW-OPQ-PQ-Rerank-ef16,1000,10,1,1,0,0,0,16,16,500,0.975700,1301.450900,756.520869,1.321841,24303.750000,45.624000
C-IVF-HNSW-OPQ-PQ-Rerank-ef32,1000,10,1,1,0,0,0,16,32,500,0.981300,1316.534900,747.512596,1.337770,24152.187000,56.721000
C-IVF-HNSW-OPQ-PQ-Rerank-ef48,1000,10,1,1,0,0,0,16,48,500,0.981500,1315.605400,749.011941,1.335092,24155.411000,62.175000
C-IVF-HNSW-OPQ-PQ-Rerank-ef64,1000,10,1,1,0,0,0,16,64,500,0.981500,1466.596500,671.362038,1.489509,24156.832000,64.000000
D-Reordered-IVF-HNSW-OPQ-PQ-Rerank-np8-R200,1000,10,1,1,1,0,0,8,32,200,0.922500,455.036100,2155.803358,0.463864,12572.215000,56.721000
D-Reordered-IVF-HNSW-OPQ-PQ-Rerank-np16-R500,1000,10,1,1,1,0,0,16,48,500,0.981500,934.596100,1048.303740,0.953922,24155.411000,62.175000
D-Reordered-IVF-HNSW-OPQ-PQ-Rerank-np24-R800,1000,10,1,1,1,0,0,24,64,800,0.994000,2017.851700,462.377242,2.162736,35588.855000,64.000000
D-Fused-Reordered-IVF-HNSW-OPQ-PQ-Rerank-np8-R200,1000,10,1,1,1,1,0,8,32,200,0.922500,377.488500,2549.917829,0.392170,12572.215000,56.721000
D-Fused-Reordered-IVF-HNSW-OPQ-PQ-Rerank-np16-R500,1000,10,1,1,1,1,0,16,48,500,0.981500,866.679500,1098.448683,0.910375,24155.411000,62.175000
D-Fused-Reordered-IVF-HNSW-OPQ-PQ-Rerank-np24-R1000,1000,10,1,1,1,1,0,24,64,1000,0.995100,1325.507800,703.476793,1.421511,35588.855000,64.000000
E-Pipeline-OMP-SIMD-Fused-Reordered-np8-R200,1000,10,1,1,1,1,1,8,32,200,0.922500,56.301200,17761.610765,0.056301,12572.215000,56.721000
E-Pipeline-OMP-SIMD-Fused-Reordered-np16-R500,1000,10,1,1,1,1,1,16,48,500,0.981500,100.417000,9958.473167,0.100417,24155.411000,62.175000
E-Pipeline-OMP-SIMD-Fused-Reordered-np24-R1000,1000,10,1,1,1,1,1,24,64,1000,0.995100,169.710200,5892.397746,0.169710,35588.855000,64.000000
